name,category,current_price,old_price,discount,rating,review_count,is_official_store,url
bracelet pour apple watch magnétique en acier inoxydable avec Boucle de Verrouillage Magnétique-Gris  de 42-44mm,Phones & Tablets,35.0,312.0,89.0,3.2,36.0,False,https://www.jumia.ma/bracelet-pour-apple-watch-magnetique-en-acier-inoxydable-avec-boucle-de-verrouillage-magnetique-gris-de-42-44mm-generic-mpg1489576.html
"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",Computing,44.0,304.0,86.0,4.1,39.0,False,https://www.jumia.ma/generic-support-pliable-pour-ordinateur-portable-mac-et-pc-en-aluminium-support-antiderapant-63466420.html
"Télécommande universelle pour Samsung Smart TV,",Electronics,39.0,249.0,84.0,3.9,24.0,False,https://www.jumia.ma/generic-telecommande-universelle-pour-samsung-smart-tv-64221659.html
Patère du porte 12 crochets en acier inoxydable,Home & Office,26.0,148.5,82.0,4.4,62.0,False,https://www.jumia.ma/generic-patere-du-porte-12-crochets-en-acier-inoxydable-63777739.html
Defacto Sweat tricoté col rond - Écru/.,Baby Products,38.0,199.0,81.0,,,True,https://www.jumia.ma/defacto-sweat-tricote-col-rond-ecru.-67326118.html
Defacto Pull tricoté col rond - Gris.,Baby Products,19.0,99.0,81.0,,,True,https://www.jumia.ma/defacto-pull-tricote-col-rond-gris.-67325811.html
Jacket Homme-Automne noir,Fashion,99.0,500.0,80.0,3.5,109.0,False,https://www.jumia.ma/generic-jacket-homme-automne-noir-38753223.html
Jacket Homme-Automne noir,Fashion,99.0,499.0,80.0,3.6,490.0,False,https://www.jumia.ma/jacket-homme-automne-noir-generic-mpg1477469.html
Support de Téléphone et GoPro Réglable avec ceinture de poitrine et de Tète,Electronics,83.66,399.0,79.0,3.8,13.0,False,https://www.jumia.ma/generic-support-de-telephone-et-gopro-reglable-avec-ceinture-de-poitrine-et-de-tete-55552076.html
SH Souris de jeu gamer PRO RGB Capteur Optique 1200 à 3200 DPI LED 6 boutons,Computing,46.0,224.0,79.0,4.4,53.0,False,https://www.jumia.ma/sh-souris-de-jeu-gamer-pro-rgb-capteur-optique-1200-a-3200-dpi-led-6-boutons-63259104.html
mifoy GM100 Souris de jeu gamer PRO RGB Capteur Optique 1200 à 3200 DPI LED 6 boutons,Computing,69.0,336.0,79.0,4.3,305.0,True,https://www.jumia.ma/gm100-souris-de-jeu-gamer-pro-rgb-capteur-optique-1200-a-3200-dpi-led-6-boutons-mifoy-mpg1222529.html
XIAOMI Mi Automatic Foaming Soap Dispenser,Home & Office,49.0,229.0,79.0,3.5,55.0,True,https://www.jumia.ma/xiaomi-mi-automatic-foaming-soap-dispenser-48975590.html
"Lampe de poche à lumière ultraviolette très brillante, UV Flashlight Détecteur De Scorpion",Sporting Goods,94.0,449.0,79.0,4.5,4.0,False,https://www.jumia.ma/generic-lampe-de-poche-a-lumiere-ultraviolette-tres-brillante-uv-flashlight-detecteur-de-scorpion-65591945.html
"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",Computing,40.0,185.0,78.0,4.1,441.0,False,https://www.jumia.ma/generic-support-pliable-pour-ordinateur-portable-mac-et-pc-en-aluminium-support-antiderapant-64227839.html
Jedel gaming keyboard k-590clavier blaklighit Clavier USB Gaming LED,Computing,77.0,352.0,78.0,4.1,49.0,True,https://www.jumia.ma/jedel-gaming-keyboard-k-590clavier-blaklighit-clavier-usb-gaming-led-41153626.html
"tasse Avec couvercle et paille – Verres réutilisables pour café glacé, jus, soda, boissons",Home & Office,26.0,118.5,78.0,3.9,25.0,False,https://www.jumia.ma/tasse-avec-couvercle-et-paille-verres-reutilisables-pour-cafe-glace-jus-soda-boissons-generic-mpg1513990.html
"Support TV mural pour LCD 14-42 pouces, capacité de charge jusqu'à 25 kg",Electronics,23.0,99.0,77.0,4.3,3.0,False,https://www.jumia.ma/generic-support-tv-mural-pour-lcd-14-42-pouces-capacite-de-charge-jusqua-25-kg-65761896.html
"Souris optique filaire USB 3D Antidérapante YR-3018 compatible avec PC, Mac, ordinateur bureau et portable",Computing,35.0,149.0,77.0,4.6,5.0,False,https://www.jumia.ma/generic-souris-optique-filaire-usb-3d-antiderapante-yr-3018-compatible-avec-pc-mac-ordinateur-bureau-et-portable-66394100.html
"Console de jeu vidéo sans fil, écran HD 4K 64Gb HDMI avec 10000 jeux + 2 Manettes",Gaming,189.0,816.0,77.0,3.6,83.0,False,https://www.jumia.ma/generic-console-de-jeu-video-sans-fil-ecran-hd-4k-64gb-hdmi-avec-10000-jeux-2-manettes-63348432.html
"Cagoule, Masque Anti Froid  pour Ski Cyclisme Neige Moto et Autres Sports",Automobile,44.9,199.0,77.0,4.0,10.0,False,https://www.jumia.ma/generic-cagoule-masque-anti-froid-pour-ski-cyclisme-neige-moto-et-autres-sports-40712974.html
"Télécommande Bluetooth et Commande vocale pour Xiaomi Mi Stick, Mi Box, MI TV",Electronics,69.0,283.0,76.0,3.6,14.0,False,https://www.jumia.ma/generic-telecommande-bluetooth-et-commande-vocale-pour-xiaomi-mi-stick-mi-box-mi-tv-64922783.html
"Boîtier pour disque dur externe SSD, 2.5 pouces, USB 2.0 à SATA, 480Mbps Support 1To",Computing,58.0,240.0,76.0,4.6,14.0,False,https://www.jumia.ma/generic-boitier-pour-disque-dur-externe-ssd-2.5-pouces-usb-2.0-a-sata-480mbps-support-1to-65599830.html
Derma Roller Anti cellulite et vergetures 0.5mm,Health & Beauty,24.0,99.0,76.0,4.1,17.0,False,https://www.jumia.ma/derma-roller-anti-cellulite-et-vergetures-0.5mm-generic-mpg1491341.html
Produit kit fitness Bandes élastiques de résistance Résistance Majestic,Sporting Goods,72.0,299.0,76.0,3.5,30.0,False,https://www.jumia.ma/generic-produit-kit-fitness-bandes-elastiques-de-resistance-resistance-majestic-58242072.html
"Casque de Protection Bébé, Réglable, Protège-Tête, Casque Antichoc pour Enfants",Baby Products,48.0,199.0,76.0,,,False,https://www.jumia.ma/generic-casque-de-protection-bebe-reglable-protege-tete-casque-antichoc-pour-enfants-67162964.html
"Deep Bass R8 Casque pliables Sans Fil Bluetooth Hifi, Stéréo, Mains Libres et Aux, suppression du bruit",Phones & Tablets,115.0,464.0,75.0,4.1,69.0,True,https://www.jumia.ma/deep-bass-r8-casque-pliables-sans-fil-bluetooth-hifi-stereo-mains-libres-et-aux-suppression-du-bruit-65245903.html
Puluz Studio Photo Boîte de Lumière Pliable 25 x 25cm+ 12 Couleurs de Fond,Electronics,179.0,720.0,75.0,4.2,17.0,True,https://www.jumia.ma/puluz-studio-photo-boite-de-lumiere-pliable-25-x-25cm-12-couleurs-de-fond-64158304.html
"Jmary Microphone PRO cardioïde à condensateur USB, Type-c (IOS / Android, Mac / Windows)",Electronics,299.0,1184.0,75.0,3.5,11.0,False,https://www.jumia.ma/jmary-microphone-pro-cardioide-a-condensateur-usb-type-c-ios-android-mac-windows-63036706.html
"Vélo d'Appartement, Pédale d'exercice portable, Pédale de vélo réglable avec écran, Appareil d'exercice pour bras et jambes, Cycle de bureau, Équipement de fitness, Vélo d'exercice pliable",Sporting Goods,199.0,799.0,75.0,5.0,2.0,False,https://www.jumia.ma/generic-velo-dappartement-pedale-dexercice-portable-pedale-de-velo-reglable-avec-ecran-appareil-dexercice-pour-bras-et-jambes-cycle-de-bureau-equipement-de-fitness-velo-dexercice-pliable-65849866.html
Câble Display Port 1.2 Mâle vers Mâle 1.5M - Noir,Electronics,54.0,208.0,74.0,5.0,1.0,False,https://www.jumia.ma/generic-cable-display-port-1.2-male-vers-male-1.5m-noir-64707635.html
Mini caméras IP P2P  Micro caméscope téléphone Camera WiFi  1080P A9,Electronics,129.0,500.0,74.0,5.0,1.0,False,https://www.jumia.ma/generic-mini-cameras-ip-p2p-micro-camescope-telephone-camera-wifi-1080p-a9-47933043.html
Barre fixe professionnelle  one barre  OMISO 2021  BAR externe training multi fonction pull up,Sporting Goods,329.0,1250.0,74.0,4.8,4.0,False,https://www.jumia.ma/generic-barre-fixe-professionnelle-one-barre-omiso-2021-bar-externe-training-multi-fonction-pull-up-39190102.html
"Bague Bluetooth Scrolling Ring – Télécommande Tactile pour TikTok, Contrôle Musique & Vidéo, Défilement de Pages – iOS / Android Compatible",Electronics,53.0,199.0,73.0,4.0,1.0,False,https://www.jumia.ma/generic-bague-bluetooth-scrolling-ring-telecommande-tactile-pour-tiktok-controle-musique-video-defilement-de-pages-ios-android-compatible-67060080.html
Vision Recepteur AMIGO 4 Plus + Abonnement 12 Mois,Electronics,193.0,709.0,73.0,,,True,https://www.jumia.ma/vision-recepteur-amigo-4-plus-abonnement-12-mois-67315505.html
Caméra solaire compatible avec SIM 4G tracker de mouvement zoom 10x V380,Electronics,799.0,2999.0,73.0,4.6,7.0,False,https://www.jumia.ma/generic-camera-solaire-compatible-avec-sim-4g-tracker-de-mouvement-zoom-10x-v380-64470505.html
Western Digital Disque dur Externe 500GB - WD Elements™ - USB 3.0,Computing,199.0,750.0,73.0,4.1,155.0,False,https://www.jumia.ma/disque-dur-externe-500gb-wd-elementstm-usb-3.0-western-digital-mpg1429222.html
Tefal POELE 20CM EXPERTISE NOIR G2840253,Home & Office,79.9,299.0,73.0,,,True,https://www.jumia.ma/tefal-poele-20cm-expertise-noir-g2840253-67374715.html
Trendyol Ensemble Vétement Pour Femmes - Beige,Fashion,86.0,320.0,73.0,3.2,5.0,True,https://www.jumia.ma/trendyol-ensemble-vetement-pour-femmes-beige-67156318.html
"Chargeur au Lithium 36v Output 42V/ 2A Pour Vélo électrique, Trottinette",Sporting Goods,94.0,350.0,73.0,3.0,2.0,False,https://www.jumia.ma/generic-chargeur-au-lithium-36v-output-42v-2a-pour-velo-electrique-trottinette-63134567.html
"Gigoteuse Bébé Couverture Emmaillotage Nouveau-né, Sac de Couchage en Polaire Chaud ,Rose",Baby Products,82.0,299.0,73.0,,,False,https://www.jumia.ma/generic-gigoteuse-bebe-couverture-emmaillotage-nouveau-ne-sac-de-couchage-en-polaire-chaud-rose-65714727.html
Nokia Mobile 235 (2024) 2 cart sim connecteur Tybee C,Phones & Tablets,209.0,750.0,72.0,,,False,https://www.jumia.ma/nokia-mobile-235-2024-2-cart-sim-connecteur-tybee-c-67334817.html
"Caméra de Sécurité Sans Fil A9 – Mini Caméra 1080P HD avec Vision Nocturne, Micro Intégré, WiFi Mobile pour Surveillance Maison, Bureau ou Voiture",Electronics,99.0,349.0,72.0,1.0,1.0,False,https://www.jumia.ma/generic-camera-de-securite-sans-fil-a9-mini-camera-1080p-hd-avec-vision-nocturne-micro-integre-wifi-mobile-pour-surveillance-maison-bureau-ou-voiture-67217856.html
Vision Récepteur K3 (FHD),Electronics,125.0,449.0,72.0,,,True,https://www.jumia.ma/vision-recepteur-k3-fhd-67315504.html
"R36S Console de jeu portable rétro gaming écran IPS 3,5 pouce, plus de 1500 jeux, sortie OTG",Gaming,399.0,1450.0,72.0,3.5,12.0,False,https://www.jumia.ma/r36s-console-de-jeu-portable-retro-gaming-ecran-ips-35-pouce-plus-de-1500-jeux-sortie-otg-generic-mpg1526179.html
"Console de Jeu Portable R36S Rétro – 64 Go – Écran IPS 3.5"" HD – Système Linux – Plus de 21 000 Jeux Intégrés – Quad-Core – Batterie Longue Durée – Émulateurs Multiplateformes",Gaming,420.0,1500.0,72.0,4.5,4.0,False,https://www.jumia.ma/generic-console-de-jeu-portable-r36s-retro-64-go-ecran-ips-3.5-hd-systeme-linux-plus-de-21-000-jeux-integres-quad-core-batterie-longue-duree-emulateurs-multiplateformes-65322004.html
Vélo d'exercice à pédales - Exercice à domicile pour les bras et les jambes,Sporting Goods,165.0,599.0,72.0,4.3,155.0,False,https://www.jumia.ma/generic-velo-dexercice-a-pedales-exercice-a-domicile-pour-les-bras-et-les-jambes-65599370.html
Trendyol Cardigan Pour Femme - Beige,Fashion,86.0,300.0,71.0,4.0,13.0,True,https://www.jumia.ma/trendyol-cardigan-pour-femme-beige-67156143.html
Trendyol Robe Pour Femme - Gris,Fashion,86.0,300.0,71.0,4.0,8.0,True,https://www.jumia.ma/trendyol-robe-pour-femme-gris-67156025.html
Trendyol Robe Pour Femme - Blanc,Fashion,86.0,300.0,71.0,4.4,7.0,True,https://www.jumia.ma/trendyol-robe-pour-femme-blanc-67156026.html
"Souris Sans Fil Rechargeable Silencieuse – Ultra-Slim, DPI réglable, Ergonomique et Double Mode (Bluetooth + 2,4 GHz)",Computing,59.0,199.0,70.0,4.5,2.0,False,https://www.jumia.ma/generic-souris-sans-fil-rechargeable-silencieuse-ultra-slim-dpi-reglable-ergonomique-et-double-mode-bluetooth-24-ghz-67272694.html
"Sac à dos antivol externe pour PC, bag d'affaires, Cartable de voyages LAPTOP BAG",Computing,149.0,499.0,70.0,3.7,3.0,False,https://www.jumia.ma/generic-sac-a-dos-antivol-externe-pour-pc-bag-daffaires-cartable-de-voyages-laptop-bag-67127671.html
"Papier cuisson air-fryer 100 pièces, Forme Carrée, friteuse sans huile",Home & Office,35.0,118.5,70.0,4.2,54.0,False,https://www.jumia.ma/generic-papier-cuisson-air-fryer-100-pieces-forme-carree-friteuse-sans-huile-65252215.html
Birkenstock Barbados EVA Noir (R),Fashion,218.0,725.0,70.0,5.0,4.0,True,https://www.jumia.ma/birkenstock-barbados-eva-noir-r-67278190.html
Birkenstock Arizona Birko Flor Blue (R),Fashion,375.0,1249.0,70.0,4.7,88.0,True,https://www.jumia.ma/birkenstock-arizona-birko-flor-blue-r-66229401.html
Birkenstock Arizona EVA Silver (N),Fashion,218.0,724.0,70.0,4.6,111.0,True,https://www.jumia.ma/birkenstock-arizona-eva-silver-n-66253316.html
Birkenstock Arizona Birko Flor Noir Brillant (N),Fashion,432.0,1437.0,70.0,4.5,14.0,True,https://www.jumia.ma/birkenstock-arizona-birko-flor-noir-brillant-n-67278172.html
Birkenstock Arizona Birko Flor Blanc Brillant (N),Fashion,432.0,1437.0,70.0,4.4,16.0,True,https://www.jumia.ma/birkenstock-arizona-birko-flor-blanc-brillant-n-67278170.html
Birkenstock Arizona EVA Silver (R),Fashion,218.0,724.0,70.0,4.4,106.0,True,https://www.jumia.ma/birkenstock-arizona-eva-silver-r-66229318.html
Birkenstock Arizona Birko Flor Brevet Noir (R),Fashion,432.0,1437.0,70.0,4.3,4.0,True,https://www.jumia.ma/birkenstock-arizona-birko-flor-brevet-noir-r-67278175.html
Birkenstock Barbados EVA Navy (R),Fashion,218.0,724.0,70.0,4.5,33.0,True,https://www.jumia.ma/birkenstock-barbados-eva-navy-r-66229338.html
Birkenstock Barbados EVA Blanc (R),Fashion,218.0,725.0,70.0,5.0,1.0,True,https://www.jumia.ma/birkenstock-barbados-eva-blanc-r-67278176.html
Birkenstock Madrid EVA Noir (N),Fashion,195.0,649.0,70.0,4.2,6.0,True,https://www.jumia.ma/birkenstock-madrid-eva-noir-n-67278173.html
Birkenstock Madrid Birko Flor Metallic Black (N),Fashion,338.0,1124.0,70.0,4.5,36.0,True,https://www.jumia.ma/birkenstock-madrid-birko-flor-metallic-black-n-66229384.html
Birkenstock Madrid Birko Flor Brevet Noir (N),Fashion,394.0,1312.0,70.0,5.0,4.0,True,https://www.jumia.ma/birkenstock-madrid-birko-flor-brevet-noir-n-67278164.html
Birkenstock Gizeh EVA Silver (R),Fashion,218.0,724.0,70.0,4.1,17.0,True,https://www.jumia.ma/birkenstock-gizeh-eva-silver-r-66229321.html
Birkenstock Florida SFB Birko Flor Black (R),Fashion,413.0,1374.0,70.0,4.7,14.0,True,https://www.jumia.ma/birkenstock-florida-sfb-birko-flor-black-r-66229397.html
Birkenstock Madrid Birko Flor Blanc Vernis (N),Fashion,432.0,1437.0,70.0,4.7,3.0,True,https://www.jumia.ma/birkenstock-madrid-birko-flor-blanc-vernis-n-67278163.html
Birkenstock Milano Birko Flor Dark Brown (R),Fashion,413.0,1374.0,70.0,4.3,10.0,True,https://www.jumia.ma/birkenstock-milano-birko-flor-dark-brown-r-66265558.html
WeightWorld Vitamine D3 K2 (MK7) Extra Fort Système Immunitaire 240 Comprimés,Health & Beauty,299.0,999.0,70.0,5.0,3.0,False,https://www.jumia.ma/weightworld-vitamine-d3-k2-mk7-extra-fort-systeme-immunitaire-240-comprimes-67145018.html
"Vélo d'exercice réglable avec écran LCD, équipement de fitness à domicile,entraîneur de main et de jambe de vélo",Sporting Goods,179.0,599.0,70.0,4.1,100.0,False,https://www.jumia.ma/generic-velo-dexercice-reglable-avec-ecran-lcd-equipement-de-fitness-a-domicileentraineur-de-main-et-de-jambe-de-velo-66223968.html
Koton Manteau  Rose Pour Bebe Fille,Baby Products,269.0,899.0,70.0,4.5,2.0,True,https://www.jumia.ma/koton-manteau-rose-pour-bebe-fille-65645495.html
Twolf Clavier Gaming Mécanique T61 Format 60 % – 63 Touches – lumineuse Rétroéclairage  RGB – Blue Switch anti-ghosting  Connexion USB Filaire,Computing,207.0,650.0,68.0,4.0,8.0,False,https://www.jumia.ma/twolf-clavier-gaming-mecanique-t61-format-60-63-touches-lumineuse-retroeclairage-rgb-blue-switch-anti-ghosting-connexion-usb-filaire-67126694.html
"Sac pour pc portable, mallette pour pc, cartable, sacoche - 15 POUCES",Computing,97.0,299.0,68.0,3.7,39.0,False,https://www.jumia.ma/generic-sac-pour-pc-portable-mallette-pour-pc-cartable-sacoche-15-pouces-64800684.html
Survêtement femme Jogging En Molleton - Gris,Fashion,129.0,399.0,68.0,3.3,231.0,False,https://www.jumia.ma/generic-survetement-femme-jogging-en-molleton-gris-61893938.html
Capuchon en Silicone Analogue de Manette de Jeux ps4/ps5,Gaming,25.0,79.0,68.0,3.8,39.0,False,https://www.jumia.ma/generic-capuchon-en-silicone-analogue-de-manette-de-jeux-ps4ps5-52188860.html
"Peluche pieuvre réversible, Jouet en peluche Cadeau octopus happy&sad doll",Baby Products,65.0,200.0,68.0,5.0,2.0,False,https://www.jumia.ma/generic-peluche-pieuvre-reversible-jouet-en-peluche-cadeau-octopus-happysad-doll-42655566.html
2 x Softbox d’éclairage 50x70CM Professional avec 2 x trépied 2m + 2 x Lampe économique,Electronics,491.0,1495.0,67.0,4.3,15.0,False,https://www.jumia.ma/generic-2-x-softbox-declairage-50x70cm-professional-avec-2-x-trepied-2m-2-x-lampe-economique-47925432.html
Télécommande Universelle Compatible Samsung Smart TV,Electronics,49.9,149.0,67.0,4.3,4.0,False,https://www.jumia.ma/generic-telecommande-universelle-compatible-samsung-smart-tv-66179196.html
Support pliable universel pour ordinateurs portables et tablettes Rotatif,Computing,131.1,399.0,67.0,4.2,9.0,False,https://www.jumia.ma/generic-support-pliable-universel-pour-ordinateurs-portables-et-tablettes-rotatif-65639846.html
Tefal CREPIERE 28CM CERAMIQUE NOIR C4353902,Home & Office,99.9,299.0,67.0,,,True,https://www.jumia.ma/tefal-crepiere-28cm-ceramique-noir-c4353902-67374948.html
Hemani HUILE DE COCO 100% naturel 400 ml,Health & Beauty,55.0,167.0,67.0,4.2,89.0,False,https://www.jumia.ma/hemani-huile-de-coco-100-naturel-400-ml-37598394.html
"Pokemon Lampe de chevet Pokemon Pikachu, jouet lumineux pour enfants, cadeau d'anniversaire et de noël",Baby Products,39.9,120.0,67.0,3.6,17.0,False,https://www.jumia.ma/lampe-de-chevet-pokemon-pikachu-jouet-lumineux-pour-enfants-cadeau-danniversaire-et-de-noel-pokemon-mpg1480841.html
Wacom Tablette Graphique One by Petite - USB (CTL-472-S),Computing,409.0,1200.0,66.0,2.0,1.0,True,https://www.jumia.ma/wacom-tablette-graphique-one-by-petite-usb-ctl-472-s-65305975.html
Trendyol Baskets Femme Blanches en Cuir et Mesh Y5623.,Fashion,88.0,260.0,66.0,4.8,4.0,True,https://www.jumia.ma/trendyol-baskets-femme-blanches-en-cuir-et-mesh-y5623.-67155661.html
Trendyol Sweat-shirt Pour Femme - Rose,Fashion,86.0,250.0,66.0,4.7,3.0,True,https://www.jumia.ma/trendyol-sweat-shirt-pour-femme-rose-67156090.html
"Bonnet de natation en Silicone, élastique, imperméable, pour hommes et femmes bleu rose",Sporting Goods,30.0,88.5,66.0,5.0,1.0,False,https://www.jumia.ma/generic-bonnet-de-natation-en-silicone-elastique-impermeable-pour-hommes-et-femmes-bleu-rose-65862864.html
Manette sans fil Bluetooth 3 en 1 pour téléphone contrôleur de jeu gaming pour iOS / Android / PC / PS3 / PS4 avec support téléphone,Phones & Tablets,105.0,300.0,65.0,4.6,16.0,False,https://www.jumia.ma/generic-manette-sans-fil-bluetooth-3-en-1-pour-telephone-controleur-de-jeu-gaming-pour-ios-android-pc-ps3-ps4-avec-support-telephone-65956247.html
"Souris rechargeable portable sans fil silencieuse compatible Bluetooth et USB 2,4 GHz.",Computing,52.0,150.0,65.0,4.4,62.0,False,https://www.jumia.ma/generic-souris-rechargeable-portable-sans-fil-silencieuse-compatible-bluetooth-et-usb-24-ghz.-64403344.html
"Tapis souris RAZER XXL Large 900 × 400, tapis gamer XXL pour bureau et ordinateur portable",Computing,69.5,199.0,65.0,4.9,9.0,False,https://www.jumia.ma/generic-tapis-souris-razer-xxl-large-900-400-tapis-gamer-xxl-pour-bureau-et-ordinateur-portable-66555285.html
"Câble Adaptateur USB 3.0 vers SATA III – Compatible SSD/HDD 2.5"" & 3.5"" avec Double USB et Port DC 12V/2A",Computing,69.45,199.0,65.0,4.3,8.0,False,https://www.jumia.ma/generic-cable-adaptateur-usb-3.0-vers-sata-iii-compatible-ssdhdd-2.5-3.5-avec-double-usb-et-port-dc-12v2a-66148760.html
"Pommeau de douche haute pression économique,douchette à 3 modes,brosse massage",Home & Office,35.0,99.0,65.0,4.0,9.0,False,https://www.jumia.ma/generic-pommeau-de-douche-haute-pression-economiquedouchette-a-3-modesbrosse-massage-67183369.html
ensemble de 6 sacs rangement économiseur d'espace fenêtres transparentes Vêtements Literie Jouets et couvertures idéal pour armoire grand,Home & Office,113.0,312.0,64.0,3.7,23.0,False,https://www.jumia.ma/generic-ensemble-de-6-sacs-rangement-economiseur-despace-fenetres-transparentes-vetements-literie-jouets-et-couvertures-ideal-pour-armoire-grand-65660620.html
"Console de Jeu Portable Rétro R36S – Écran IPS 3,5”, +18000 Jeux, Processeur Quad-Core, Batterie Longue Durée, Sortie TV et Manettes Sans Fil",Gaming,399.0,1100.0,64.0,3.7,3.0,False,https://www.jumia.ma/generic-console-de-jeu-portable-retro-r36s-ecran-ips-35-18000-jeux-processeur-quad-core-batterie-longue-duree-sortie-tv-et-manettes-sans-fil-67169632.html
Mini projecteur HY300 portable Android 12 Wi-Fi 6 360 ULTRA HD 4K Bluetooth,Electronics,749.0,1999.0,63.0,4.2,6.0,False,https://www.jumia.ma/generic-mini-projecteur-hy300-portable-android-12-wi-fi-6-360-ultra-hd-4k-bluetooth-66015323.html
"Support PC Portable, Téléphone et Tablette, Alliage Aluminium, Réglable",Computing,45.0,120.0,63.0,4.3,69.0,False,https://www.jumia.ma/generic-support-pc-portable-telephone-et-tablette-alliage-aluminium-reglable-57115169.html
Tapis souris XXL Large 80CM × 30CM gaming mousepad tapis gamer XXl DESKTOP LAPTOP,Computing,55.0,150.0,63.0,4.2,28.0,False,https://www.jumia.ma/generic-tapis-souris-xxl-large-80cm-30cm-gaming-mousepad-tapis-gamer-xxl-desktop-laptop-66359768.html
Laptop stand NOIR Support ordinateur portable en alliage d'aluminium réglable,Computing,55.44,149.0,63.0,4.5,83.0,False,https://www.jumia.ma/generic-laptop-stand-noir-supportordinateur-portable-en-alliage-daluminiumreglable-58511312.html
"Souris Sans Fil Rechargeable Silencieuse – Ultra-Slim, DPI réglable, Ergonomique et Double Mode (Bluetooth + 2,4 GHz)",Computing,55.0,150.0,63.0,,,False,https://www.jumia.ma/generic-souris-sans-fil-rechargeable-silencieuse-ultra-slim-dpi-reglable-ergonomique-et-double-mode-bluetooth-24-ghz-67272572.html
Meuble 7 Couches pour Chaussures - Etagère de Rangement - Diaphragme Anti-poussière Porte de Dortoir,Home & Office,149.0,399.0,63.0,3.8,61.0,False,https://www.jumia.ma/meuble-7-couches-pour-chaussures-etagere-de-rangement-diaphragme-anti-poussiere-porte-de-dortoir-generic-mpg1517017.html
Mini mixeur plongeant à café ou lait batteur portable mini crémier Multicolour,Home & Office,27.0,73.5,63.0,3.5,4.0,False,https://www.jumia.ma/mini-mixeur-plongeant-a-cafe-ou-lait-batteur-portable-mini-creamer-cremier-generic-mpg1484910.html
